 host           organization                          location
 ----           ------------                          --------
 3comvax        3Com Corporation                      Santa Clara, CA
 a3bee2         Compusoft                             Wallingford, CT
 aaachoo        AAA National Head Quarters - NTS/OTI  Virginia
 aaahq01        American Automobile Association, Hea  Heathrow, Florida
 aablue         AA Blueprint Co., Inc.                Ohio
 aai            Amerinex Artificial Intelligence      Amherst, MA
 aaisd          Advantest America Inc., Software Div  Santa Clara, CA
 aardvark       Steve's Unix System, Portland         Portland, Oregon
 aare           Ascom Tech AG                         Solothurn
 aas            Automated Accounting Solutions, Inc.  Silver Spring, MD
 aati           Embedded Computer Systems Group, Ana  New London, CT
 ab-lx          University of Tennessee, Chattanooga  Chattanooga, TN
 abaa           Allen-Bradley, Communication Divisio  Ann Arbor, MI
 abacus         Abacus, Inc.                          San Francisco, CA
 abb-sc         ABB Systems Control                   San Jose, CA
 abbins         ABB Installationen GmbH, Abt. INS/GT  Ladenburg
 abdul          Jack 'n Linda's House                 Ypsilanti
 abe            ScripTek, Inc.                        Kansas
 abekas         Abekas Video Systems Inc, Redwood Ci  Redwood City, CA
 abhg           ABHG Computing                        Danville, CA
 abinitio       Abinitio, S.A.                        C A
 abode          Abode Computer Services               El Monte, CA
 abosun         Abo Akademi                           Finland
 abqmesa        Technical Computer Services, Ltd.     Albuquerque, NM
 absco          Advanced Business Systems             Bethesda, MD
 absi           Automated Business Services, Inc.     San Diego, CA
 absolut        Absolut Software                      Newton, MA
 abstl          Anheuser-Busch, Inc.                  St Louis, Missouri
 abtcser        Abbott Labs.                          Abbott Park, IL
 abtlabs        Abbott Laboratories                   B Abbott Park, IL
 abvax          Allen-Bradley Company, Inc.           Highland Heights O
 abwill         Anheuser-Bush, Inc                    Pocahontas Trail W
 abwunx         Andrew Corp.                          Bothell, WA
 abyss          Derek J. Lambert, Programmer          Carlsbad, CA
 aca1           Acacia Computer Agency Inc.           Warren, New Jersey
 acad           Autodesk Inc.                         Sausalito, CA
 acadch         Autodesk AG                           Basel
 academ         Academ Computer Systems (Consulting)  Houston, Texas
 academy        Academy Computing Corporation         Oklahoma City, OK
 acatt          Alabama Industrial Development Train  Huntsville, AL
 acbte          The Advertising Checking Bureau, Inc  New York, New York
 acc            A.C. Consultants                      Sunrise, Florida
 accel          ACCEL Technologies, Inc.              San Diego, CA
 access         Alberta Educational Communication Co  Alberta
 accom          Axial Corp.                           Belmont, CA
 accord         Accord Software                       Methuen, MA
 accserv        Accipiter Services, Inc.              Libertyville, IL
 acctg          Sumitomo Machinery Corporation        Chesapeake, VA
 accumv         Academisch Computer Centrum Utrecht   Netherlands
 accur8         Accurate Information Systems, Inc.    South Plainfield N
 acd4           Applied Computing Devices             Terre Haute, IN
 aceca          Advanced Computer Engineering         Irvine, California
 acg            Applied Computer Group                Waterville, Maine
 acheron        Ciliophora Associates                 Ossining, New York
 acich          Automated Concepts, Inc. (Chicago)    Illinois
 acid           Delta Systems International           Gresham, Oregon
 acils          Access Center for Independent Living  Centerville, Ohio
 acis           Public and Academic Sector            Canada
 ack            Computer Specialists, division of Au  Indiana USA
 acmehi         Acme Hitech Systems, Inc.             Johnston, Iowa
