[11-Jan-2025 00:12:55 Europe/Copenhagen] PHP Warning:  Undefined variable $options in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 33
[11-Jan-2025 00:13:18 Europe/Copenhagen] PHP Warning:  Undefined variable $options in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 33
[11-Jan-2025 00:13:18 Europe/Copenhagen] PHP Warning:  Trying to access array offset on value of type null in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 77
[11-Jan-2025 00:13:18 Europe/Copenhagen] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 77
[11-Jan-2025 00:13:18 Europe/Copenhagen] PHP Warning:  Trying to access array offset on value of type null in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 78
[11-Jan-2025 00:13:18 Europe/Copenhagen] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 78
[11-Jan-2025 00:13:18 Europe/Copenhagen] PHP Warning:  Undefined array key 1 in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 79
[11-Jan-2025 00:13:18 Europe/Copenhagen] PHP Warning:  Undefined array key 2 in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 81
[11-Jan-2025 00:13:48 Europe/Copenhagen] PHP Warning:  Undefined variable $options in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 33
[11-Jan-2025 00:15:11 Europe/Copenhagen] PHP Warning:  Undefined variable $options in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 33
[11-Jan-2025 00:16:39 Europe/Copenhagen] PHP Warning:  Undefined variable $options in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 33
[11-Jan-2025 00:17:05 Europe/Copenhagen] PHP Warning:  Undefined variable $options in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 33
[11-Jan-2025 00:30:10 Europe/Copenhagen] PHP Warning:  Undefined variable $recipient in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 59
[11-Jan-2025 00:30:10 Europe/Copenhagen] PHP Warning:  Attempt to read property "user_name" on null in C:\Ampps\www\terminal\app\System\Email\EmailController.php on line 59
